Date,HomeTeam,AwayTeam,HTHG,HTAG,HTR,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Season,Season_Start_Year,Referee,Avg_H_Odds,Avg_D_Odds,Avg_A_Odds,Total_Goals,Goal_Difference,Home_Shots_Accuracy,Away_Shots_Accuracy,Avg_Over_2.5,Avg_Under_2.5
26/02/11,Wigan,Man United,0,1,A,0,4,A,10,14,4,9,8,4,13,11,0,1,0,0,2010-2011,2010,M Clattenburg,6.46,3.85,1.55,4,-4,0.4,0.6428571428571429,1.88,1.89
26/02/11,Wolves,Blackpool,1,0,H,4,0,H,15,2,11,1,11,4,16,10,1,1,0,1,2010-2011,2010,N Swarbrick,1.83,3.58,4.28,4,4,0.7333333333333333,0.5,1.67,2.13
27/02/11,Man City,Fulham,1,0,H,1,1,D,14,11,4,5,10,1,17,13,1,2,0,0,2010-2011,2010,P Walton,1.5,3.91,7.17,2,0,0.2857142857142857,0.45454545454545453,1.92,1.85
27/02/11,West Ham,Liverpool,2,0,H,3,1,H,17,12,11,8,6,8,10,8,0,1,0,0,2010-2011,2010,M Halsey,3.44,3.27,2.15,4,2,0.6470588235294118,0.6666666666666666,2.12,1.68
28/02/11,Stoke,West Brom,0,0,D,1,1,D,6,16,3,11,4,0,17,14,2,2,0,0,2010-2011,2010,M Oliver,1.92,3.39,4.09,2,0,0.5,0.6875,1.99,1.8
01/03/11,Chelsea,Man United,0,1,A,2,1,H,17,12,11,7,10,2,11,14,3,2,0,1,2010-2011,2010,M Atkinson,2.16,3.22,3.56,3,1,0.6470588235294118,0.5833333333333334,2.17,1.66
05/03/11,Arsenal,Sunderland,0,0,D,0,0,D,14,6,7,3,5,6,13,10,3,3,0,0,2010-2011,2010,A Taylor,1.46,4.14,7.52,0,0,0.5,0.5,1.78,2.0
05/03/11,Birmingham,West Brom,0,0,D,1,3,A,9,9,4,5,7,3,8,10,3,1,0,0,2010-2011,2010,M Jones,2.33,3.18,3.17,4,-2,0.4444444444444444,0.5555555555555556,2.14,1.67
05/03/11,Bolton,Aston Villa,1,1,D,3,2,H,15,10,9,6,8,5,18,11,5,2,0,0,2010-2011,2010,K Friend,2.26,3.28,3.2,5,1,0.6,0.6,1.95,1.82
05/03/11,Fulham,Blackburn,1,1,D,3,2,H,15,12,11,9,9,7,12,17,2,3,0,0,2010-2011,2010,M Clattenburg,1.71,3.57,5.15,5,1,0.7333333333333333,0.75,2.06,1.73
05/03/11,Man City,Wigan,1,0,H,1,0,H,7,12,3,5,4,6,17,8,3,1,0,0,2010-2011,2010,S Attwell,1.37,4.51,9.32,1,1,0.42857142857142855,0.4166666666666667,1.79,1.99
05/03/11,Newcastle,Everton,1,2,A,1,2,A,10,13,8,8,5,4,12,14,2,4,0,0,2010-2011,2010,H Webb,2.58,3.23,2.75,3,-1,0.8,0.6153846153846154,2.04,1.74
05/03/11,West Ham,Stoke,2,0,H,3,0,H,15,7,10,5,7,3,9,10,0,3,0,0,2010-2011,2010,A Marriner,2.21,3.27,3.3,3,3,0.6666666666666666,0.7142857142857143,2.12,1.68
06/03/11,Liverpool,Man United,2,0,H,3,1,H,17,12,10,7,6,4,12,12,2,3,0,0,2010-2011,2010,P Dowd,2.81,3.22,2.55,4,2,0.5882352941176471,0.5833333333333334,2.15,1.67
06/03/11,Wolves,Tottenham,2,2,D,3,3,D,13,15,4,10,7,4,10,11,0,3,0,0,2010-2011,2010,M Halsey,2.94,3.25,2.42,6,0,0.3076923076923077,0.6666666666666666,2.0,1.78
07/03/11,Blackpool,Chelsea,0,1,A,1,3,A,14,18,5,11,3,13,5,8,0,0,0,0,2010-2011,2010,M Dean,9.77,5.31,1.3,4,-2,0.35714285714285715,0.6111111111111112,1.48,2.52
09/03/11,Everton,Birmingham,1,1,D,1,1,D,17,5,11,3,9,1,8,12,1,3,0,0,2010-2011,2010,P Walton,1.54,3.82,6.66,2,0,0.6470588235294118,0.6,2.05,1.74
19/03/11,Aston Villa,Wolves,0,1,A,0,1,A,11,8,5,5,8,3,15,19,1,3,0,0,2010-2011,2010,P Dowd,1.88,3.45,4.22,1,-1,0.45454545454545453,0.625,1.79,2.0
19/03/11,Blackburn,Blackpool,0,2,A,2,2,D,24,8,7,6,8,3,15,12,1,1,0,0,2010-2011,2010,H Webb,1.82,3.6,4.33,4,0,0.2916666666666667,0.75,1.57,2.32
19/03/11,Everton,Fulham,1,0,H,2,1,H,16,12,12,6,7,5,15,19,2,0,0,0,2010-2011,2010,M Oliver,2.01,3.27,3.91,3,1,0.75,0.5,2.22,1.64
19/03/11,Man United,Bolton,0,0,D,1,0,H,14,11,8,6,12,5,8,11,0,0,1,0,2010-2011,2010,A Marriner,1.4,4.41,8.54,1,1,0.5714285714285714,0.5454545454545454,1.64,2.21
19/03/11,Stoke,Newcastle,1,0,H,4,0,H,8,14,6,9,3,7,16,9,1,1,0,0,2010-2011,2010,L Mason,2.2,3.25,3.39,4,4,0.75,0.6428571428571429,2.21,1.64
19/03/11,Tottenham,West Ham,0,0,D,0,0,D,26,11,14,5,6,2,6,13,0,4,0,0,2010-2011,2010,M Dean,1.57,3.91,6.0,0,0,0.5384615384615384,0.45454545454545453,1.72,2.1
19/03/11,West Brom,Arsenal,1,0,H,2,2,D,4,18,3,11,2,7,9,7,1,3,0,0,2010-2011,2010,S Attwell,4.67,3.59,1.76,4,0,0.75,0.6111111111111112,1.72,2.08
19/03/11,Wigan,Birmingham,1,1,D,2,1,H,16,7,13,4,9,4,13,13,3,1,0,0,2010-2011,2010,L Probert,2.16,3.25,3.47,3,1,0.8125,0.5714285714285714,2.13,1.69
20/03/11,Chelsea,Man City,0,0,D,2,0,H,16,5,11,2,5,1,16,13,2,5,0,0,2010-2011,2010,C Foy,1.65,3.67,5.64,2,2,0.6875,0.4,2.02,1.78
20/03/11,Sunderland,Liverpool,0,1,A,0,2,A,3,10,1,4,3,6,11,7,3,3,1,0,2010-2011,2010,K Friend,2.65,3.19,2.72,2,-2,0.3333333333333333,0.4,2.27,1.61
02/04/11,Arsenal,Blackburn,0,0,D,0,0,D,19,7,11,2,11,4,10,9,1,2,0,1,2010-2011,2010,P Dowd,1.25,5.8,12.02,0,0,0.5789473684210527,0.2857142857142857,1.5,2.48
02/04/11,Birmingham,Bolton,1,0,H,2,1,H,9,19,6,12,8,9,11,16,0,2,0,0,2010-2011,2010,M Oliver,2.5,3.25,2.86,3,1,0.6666666666666666,0.631578947368421,2.15,1.68
02/04/11,Everton,Aston Villa,1,0,H,2,2,D,14,7,7,5,5,7,13,16,3,2,0,0,2010-2011,2010,M Jones,1.85,3.49,4.35,4,0,0.5,0.7142857142857143,1.88,1.9
02/04/11,Newcastle,Wolves,2,0,H,4,1,H,17,13,13,9,5,4,19,10,5,3,0,0,2010-2011,2010,M Dean,1.99,3.39,3.86,5,3,0.7647058823529411,0.6923076923076923,1.89,1.89
02/04/11,Stoke,Chelsea,1,1,D,1,1,D,13,20,6,10,5,12,9,10,1,2,0,0,2010-2011,2010,P Walton,5.42,3.61,1.68,2,0,0.46153846153846156,0.5,1.94,1.84
